Entity,Code,Day,Total tests,142605-annotations,Total confirmed cases of COVID-19,Total confirmed deaths due to COVID-19 
South Korea,KOR,31-05-2021,187895,people tested,2746.27,38.288
South Sudan,SSD,31-05-2021,,,954.82,10.274
Spain,ESP,31-05-2021,,,78674.09,1710.05
Sri Lanka,LKA,31-05-2021,163220,tests performed,8703.209,67.295
Sudan,SDN,31-05-2021,,,809.478,60.001
Suriname,SUR,31-05-2021,,,25491.192,514.801
Sweden,SWE,31-05-2021,,,105797.053,1430.896
Switzerland,CHE,31-05-2021,844070,tests performed,80273.907,1249.044
Syria,SYR,31-05-2021,,,1399.662,101.139
Taiwan,TWN,31-05-2021,22574,people tested,357.353,5.206
Tajikistan,TJK,31-05-2021,,,1395.313,9.436
Tanzania,TZA,31-05-2021,,,8.521,0.352
Thailand,THA,31-05-2021,96177,tests performed,2289.284,14.771
Timor,TLS,31-05-2021,,,5304.746,12.136
Togo,TGO,31-05-2021,40416,tests performed,1626.577,15.099
Trinidad and Tobago,TTO,31-05-2021,129831,people tested,17084.068,353.7
Tunisia,TUN,31-05-2021,124529,people tested,29231.337,1070.684
Turkey,TUR,31-05-2021,641924,tests performed,62241.666,563.523
Uganda,UGA,31-05-2021,24464,samples tested,1030.738,7.914
Ukraine,UKR,31-05-2021,232790,tests performed,51696.882,1202.115
United Arab Emirates,ARE,31-05-2021,5089681,tests performed,57716.169,169.862
United Kingdom,GBR,31-05-2021,2652727,tests performed,66335.19,1886.177
United States,USA,31-05-2021,1358906,tests performed,100505.26,1795.647
Upper middle income,,31-05-2021,,,20398.424,585.992
Uruguay,URY,31-05-2021,652226,tests performed,84780.122,1230.955
Uzbekistan,UZB,31-05-2021,,,2997.831,20.616
Vanuatu,VUT,31-05-2021,,,13.023,3.256
Vatican,VAT,31-05-2021,,,33374.536,
Venezuela,VEN,31-05-2021,,,8234.824,93.051
Vietnam,VNM,31-05-2021,,,76.352,0.483
World,OWID_WRL,31-05-2021,,,21903.245,470.087
Yemen,YEM,31-05-2021,,,226.045,44.29
Zambia,ZMB,31-05-2021,84698,tests performed,5181.855,69.68
Zimbabwe,ZWE,31-05-2021,37060,tests performed,2621.354,107.247
