OBJECTID,LE_ID,ENGLISH,COUNTY,GUID,P14_100k,EventDate
2625,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,0,2020/09/14 00:00:00+00
2626,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,0,2020/09/07 00:00:00+00
2627,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,0,2020/08/31 00:00:00+00
2628,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,0,2020/08/24 00:00:00+00
2629,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,0,2020/08/17 00:00:00+00
2630,13150402,CASTLEBAR LEA-7,MAYO,2ae19629-3f16-13a3-e055-000000000001,0,2020/08/10 00:00:00+00
2631,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,65.5,2020/11/23 00:00:00+00
2632,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,69.3,2020/11/16 00:00:00+00
2633,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,77,2020/11/09 00:00:00+00
2634,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,254.2,2020/11/02 00:00:00+00
2635,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,504.6,2020/10/26 00:00:00+00
2636,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,462.2,2020/10/19 00:00:00+00
2637,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,181,2020/10/12 00:00:00+00
2638,13230403,MULLINGAR LEA-6,WESTMEATH,2ae19629-3ef4-13a3-e055-900000000111,69.3,2020/10/05 00:00:00+00
